context_index,category,question,new_category
108,pediatrics,What is the Progressive Aerobic Cardiovascular Endurance Run (PACER) and how is it used to assess aerobic fitness in children?,pediatrics
528,"pediatrics, surgery",Explain the pathophysiological mechanisms that have been proposed for spontaneous gastric perforation in neonates.,pediatrics
36,"pediatrics, neurology",Discuss the significance of postural control in motor development and its maturation process during childhood.,pediatrics
1633,pediatrics,What are the potential risk factors for developing a neonatal liver abscess?,pediatrics
1865,"pediatrics, public health, ent",Discuss the importance of follow-up in newborn hearing screening programs and the consequences of high LTFU rates.,pediatrics
463,pediatrics,What are the potential complications of delayed treatment in Kawasaki Disease?,pediatrics
528,"pediatrics, surgery",Describe the typical clinical presentation of a neonate with spontaneous gastric perforation.,pediatrics
2452,"pediatrics, immunology",Explain the pathophysiological relationship between Kawasaki disease and sepsis.,pediatrics
543,"pediatrics, psychiatry, obstetrics gynaecology",Assess the efficacy of a standardized behavioral intervention by pediatricians on sustained social withdrawal in preterm infants.,pediatrics
1237,"neurology, pediatrics",Discuss the potential benefits of a home-based monitoring system for infants with movement disorders or delays.,pediatrics
1633,pediatrics,What are the differential diagnoses for a neonatal liver abscess and how can they be ruled out?,pediatrics
528,"pediatrics, surgery",What is the incidence of spontaneous gastric perforation in term newborns and what percentage does it account for in neonatal gastrointestinal perforations?,pediatrics
37,pediatrics,What are the potential reasons for the variability in the success rate of newborns reaching the sucking stage in different studies?,pediatrics
440,"pediatrics, oncology, orthopaedics, radiology",Discuss the potential reasons for the comparable incidence of AVN in Chinese children with ALL to that reported in Western studies.,pediatrics
2452,"pediatrics, immunology",Define Kawasaki disease (KD) and discuss its typical clinical manifestations.,pediatrics
1651,"psychiatry, neurology, pharmacology",Outline the multimodal approach recommended by the American Academy of Pediatrics for the treatment of ADHD in children and adolescents.,pediatrics
36,"pediatrics, neurology",Describe the Motor Observation Questionnaire for Teachers (MOQ-T) and its role in identifying children at risk of DCD.,pediatrics
2032,pediatrics,Explain the concept of predictive validity and how it relates to the ACE score reported during routine pediatric practice.,pediatrics
1695,"pediatrics, neurology, genetics, public health",Summarize the recent updates in the diagnostic and therapeutic protocols for CP by the Spanish Society of Pediatric Neurology (SENEP) and the Spanish Association of Pediatrics (AEP).,pediatrics
1633,pediatrics,How does the presentation of a hepatic abscess in neonates differ from that in older children or adults?,pediatrics
1732,pediatrics,Describe the combined action observation and motor imagery (AOMI) intervention and its proposed mechanism of action in improving motor coordination in children with DCD.,pediatrics
2179,neurology,"Describe the challenges encountered in assessing written language in children with DLD, particularly in languages with opaque writing systems like Greek.",pediatrics
1646,"surgery, pediatrics, radiology, pathology","What are the potential differential diagnoses for a retroperitoneal cystic mass in children, and what factors should be considered when making a diagnosis?",pediatrics
543,"pediatrics, psychiatry, obstetrics gynaecology",Discuss the benefits of shared reading sessions on the physiological parameters of preterm infants in neonatal intensive care.,pediatrics
1760,"pediatrics, endocrinology, public health",Discuss the association between obesity and increased vascular and metabolic risks in pediatric patients.,pediatrics
1614,"neurology, pediatrics, hematology",Discuss the management strategies for acute hypertension in a pediatric patient with sickle cell disease who presents with PRES.,pediatrics
463,pediatrics,Describe the criteria established by Tomisaku Kawasaki for diagnosing Kawasaki Disease.,pediatrics
1592,"biochemistry, neurology, pediatrics, genetics","Discuss the initial treatment approach for a child presenting with progressive weakness in all four limbs and difficulties in breathing, suspected of having a metabolic disorder.",pediatrics
1156,pediatrics,"What evidence is there regarding the impact of KMC on paternal mental health, and what are the limitations of this evidence?",pediatrics
476,"obstetrics gynaecology, cardiology, genetics",Describe the initial postnatal management strategies for a neonate diagnosed with Ebstein’s anomaly.,pediatrics
415,"public health, pediatrics, emergency medicine",How can pediatricians play a role in drowning prevention during routine pediatric visits?,pediatrics
2044,public health,"How does the Family Centred Care (FCC) and Family Integrated Care (FiCare) models relate to the care of preterm infants in NICUs, and what considerations should be made for their application in Māori whānau?",pediatrics
440,"pediatrics, oncology, orthopaedics, radiology","What are the common clinical outcomes for pediatric patients with ALL who develop AVN, and what percentage required orthopedic intervention?",pediatrics
455,"pediatrics, immunology, rheumatology",Discuss the challenges in diagnosing Sjogren's Syndrome in pediatric populations and why it may be missed or diagnosed late.,pediatrics
1633,pediatrics,Explain the treatment strategies for a neonatal liver abscess and the rationale behind conservative management without invasive procedures.,pediatrics
2135,"immunology, pediatrics",Define Henoch-Schonlein purpura (HSP) and describe its primary clinical manifestations.,pediatrics
820,"pediatrics, immunology",Discuss the treatment options for MIS-C and the rationale behind the use of corticosteroids and immunoglobulin in the management of this condition.,pediatrics
440,"pediatrics, oncology, orthopaedics, radiology",Identify the single most important risk factor for the development of AVN in pediatric patients with ALL.,pediatrics
1633,pediatrics,Discuss the importance of early diagnosis and treatment in the management of neonatal liver abscesses.,pediatrics
1104,pediatrics,"What is bronchiolitis, and why are infants hospitalized with severe bronchiolitis considered at high risk for developing childhood asthma?",pediatrics
1695,"pediatrics, neurology, genetics, public health",Define cerebral palsy (CP) and explain its impact on the quality of life in pediatric patients.,pediatrics
1530,"immunology, pediatrics, obstetrics gynaecology",What are the primary treatments for severe HDFN in newborns?,pediatrics
1646,"surgery, pediatrics, radiology, pathology","What is the incidence rate of cystic lymphangioma (CL) in live births, and where are the most common locations for CL to occur?",pediatrics
2452,"pediatrics, immunology","Analyze the significance of interleukin-6 (IL-6), interleukin-2 (IL-2), and interleukin-4 (IL-4) levels in pediatric patients with Kawasaki disease combined with sepsis.",pediatrics
36,"pediatrics, neurology",Define Developmental Coordination Disorder (DCD) and describe its main characteristics.,pediatrics
2452,"pediatrics, immunology",Discuss the importance of platelet count and procalcitonin (PCT) levels in assessing the severity of sepsis in pediatric patients with Kawasaki disease.,pediatrics
2098,orthopaedics,"What is the predicted peak height velocity (PHV), and how is it used to determine maturity status in youth athletes?",pediatrics
543,"pediatrics, psychiatry, obstetrics gynaecology",Explain how cleft lip and palate can affect early parent-infant interactions and the use of the ADBB scale for evaluating social withdrawal in these infants.,pediatrics
528,"pediatrics, surgery",What is the usual age of onset for spontaneous gastric perforation in newborns and which demographics are more predisposed?,pediatrics
2347,pediatrics,"Which virus is the primary cause of acute bronchiolitis, and during which months does it typically peak in incidence in the northern hemisphere?",pediatrics
2186,linguistics,Discuss the impact of age on writing fluency and text complexity in DHH children as compared to their hearing peers.,pediatrics
1603,"surgery, oncology, pathology, radiology",What is intussusception and how does it typically present in adults?,pediatrics
1156,pediatrics,What is Kangaroo Mother Care (KMC) and how is it implemented for low-birth-weight and preterm infants?,pediatrics
4,"pediatrics, cardiology",Discuss the potential reasons why data-informed debriefing did not significantly improve the time to critical interventions during simulated pediatric cardiac arrest.,pediatrics
543,"pediatrics, psychiatry, obstetrics gynaecology",Evaluate the importance of early perinatal parent-child interventions for infants born prematurely or with medical conditions and the need for further research in this area.,pediatrics
1633,pediatrics,Describe the diagnostic modalities used to diagnose a neonatal liver abscess.,pediatrics
2053,"immunology, pediatrics",Explain why none of the pediatric PID patients received antiviral or monoclonal antibody prophylaxis or treatment in this case series.,pediatrics
820,"pediatrics, immunology","Evaluate the benefits and risks of COVID-19 vaccination in the pediatric population, particularly in relation to the incidence of MIS-C post-vaccination versus post-natural infection.",pediatrics
1219,pediatrics,Define sarcopenic obesity and explain its significance in the pediatric population.,pediatrics
2347,pediatrics,Why might the use of respiratory physiotherapy in children with bronchiolitis be debated among clinicians?,pediatrics
